,Coin,Cur. Rank,Close,Date,High,Low,Market Cap,Open,Volume
1,lisk,22,12.74,"Mar 19, 2018",13.07,11.93,"1,261,830,000",12.26,"25,454,300"
2,lisk,22,12.25,"Mar 18, 2018",12.37,10.19,"1,260,670,000",12.25,"26,947,100"
3,lisk,22,12.17,"Mar 17, 2018",13.18,11.88,"1,349,570,000",13.12,"20,557,200"
4,lisk,22,13.10,"Mar 16, 2018",14.30,12.34,"1,360,300,000",13.23,"30,103,400"
5,lisk,22,13.35,"Mar 15, 2018",13.63,10.60,"1,205,890,000",11.73,"35,374,200"
6,lisk,22,11.73,"Mar 14, 2018",14.26,11.35,"1,440,370,000",14.01,"22,923,900"
7,lisk,22,14.03,"Mar 13, 2018",14.66,13.63,"1,449,250,000",14.10,"16,983,600"
8,lisk,22,14.16,"Mar 12, 2018",15.20,13.86,"1,524,490,000",14.84,"21,335,400"
9,lisk,22,14.92,"Mar 11, 2018",15.10,13.59,"1,453,750,000",14.16,"20,241,700"
10,lisk,22,14.20,"Mar 10, 2018",15.80,14.13,"1,584,870,000",15.44,"17,287,800"
0,icon,23,2.62,"Mar 20, 2018",2.74,2.14,"918,344,000",2.38,"48,542,400"
1,icon,23,2.35,"Mar 19, 2018",2.35,1.97,"806,369,000",2.09,"39,146,200"
2,icon,23,2.07,"Mar 18, 2018",2.10,1.59,"751,868,000",1.95,"35,447,300"
3,icon,23,1.96,"Mar 17, 2018",2.25,1.89,"869,145,000",2.25,"25,180,000"
4,icon,23,2.25,"Mar 16, 2018",2.39,2.16,"876,745,000",2.27,"24,701,000"
5,icon,23,2.27,"Mar 15, 2018",2.43,2.16,"918,183,000",2.38,"31,307,700"
6,icon,23,2.38,"Mar 14, 2018",3.14,2.28,"1,120,270,000",2.90,"55,190,300"
7,icon,23,2.88,"Mar 13, 2018",2.94,2.59,"1,013,500,000",2.62,"37,901,500"
8,icon,23,2.64,"Mar 12, 2018",2.86,2.54,"1,069,070,000",2.77,"15,110,200"
9,icon,23,2.78,"Mar 11, 2018",2.82,2.37,"954,506,000",2.47,"9,918,750"
10,icon,23,2.47,"Mar 10, 2018",2.83,2.43,"1,033,760,000",2.68,"12,162,200"
0,bitcoin-gold,24,66.19,"Mar 20, 2018",69.52,61.94,"1,155,150,000",68.39,"42,417,800"
1,bitcoin-gold,24,68.43,"Mar 19, 2018",69.32,58.56,"1,010,310,000",59.83,"42,187,500"
2,bitcoin-gold,24,59.45,"Mar 18, 2018",59.89,52.54,"989,679,000",58.61,"26,012,900"
